Name,Description,Technology,Last Updated
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"
        iste-2k23","
          ISTE Main website in React
        ",JavaScript,"Jun 30, 2023"
"
        iste-2k23",,,
,,,
"
        blogs","
          My Blogs
        ",Ruby,"Jun 30, 2023"
"
        blogs",,,
,,,
"
        swastkk",,,"Jun 30, 2023"
"
        swastkk",,,
"
        dotfiles","
          My config files for Linux Customisation.
        ",C,"Jun 29, 2023"
"
        dotfiles",,,
,,,
"
        swastkk.github.io","
          Portfolio Website
        ",HTML,"Jun 26, 2023"
"
        swastkk.github.io",,,
,,,
"
        plug-test","
          Amplication test Website 
        ",TypeScript,"Jun 25, 2023"
"
        plug-test",,,
,,,
"
        scancode.io","
          ScanCode.io is a server to script and automate software composition analysis pipelines with ScanPipe pipelines. 
        ",Python,"Jun 21, 2023"
"
        scancode.io",,,
,,,
"
        resume","
          My Resume Files & Resume
        ",TeX,"Jun 19, 2023"
"
        resume",,,
,,,
"
        CAL-B","
          Test or example python package which is being published at pypi
        ",Python,"Jun 13, 2023"
"
        CAL-B",,,
,,,
"
        vulnerablecode","
          A free and open vulnerabilities database and the packages they impact. And the tools to aggregate and correlate these vulnerabilities. Sponsored by NLnet https://nlnet.nl/project/vulnerabilitydatab…
        ",Python,"Jun 10, 2023"
"
        vulnerablecode",,,
,,,
"
        purldb","
          Tools to create and expose a database of purls (Package URLs). This project is sponsored by NLnet project https://nlnet.nl/project/vulnerabilitydatabase/ and nexB for https://www.aboutcode.org/ Cha…
        ",HTML,"Jun 10, 2023"
"
        purldb",,,
,,,
"
        eduBOT",,CSS,"May 27, 2023"
"
        eduBOT",,,
"
        HACK_CARE",,HTML,"May 21, 2023"
"
        HACK_CARE",,,
"
        chess-rs","
          A Chess Engine written in Rust that runs natively and on the web!
        ",Rust,"May 21, 2023"
"
        chess-rs",,,
,,,
"
        Testing-Repo-for-NewStuff","
          Toggles between Light mode and the Dark Mode in Web application.
        ",HTML,"May 2, 2023"
"
        Testing-Repo-for-NewStuff",,,
,,,
"
        GITpedia",,Python,"Apr 23, 2023"
"
        GITpedia",,,
"
        istenith.github.io","
          ISTE-NITH website
        ",JavaScript,"Apr 18, 2023"
"
        istenith.github.io",,,
,,,
"
        AeroPros-Controller","
          For Ascensio-NIMBUS 2023
        ",HTML,"Apr 14, 2023"
"
        AeroPros-Controller",,,
,,,
"
        skeleton",,Python,"Apr 12, 2023"
"
        skeleton",,,
"
        python-inspector","
          Inspect Python code and PyPI package manifests. Resolve Python dependencies.
        ",Python,"Apr 11, 2023"
"
        python-inspector",,,
,,,
"
        swot","
          Identify email addresses or domains names that belong to colleges or universities. Help automate the process of approving or rejecting academic discounts.
        ",Kotlin,"Apr 3, 2023"
"
        swot",,,
,,,
"
        Feedback-App","
          Made in Svelte.
        ",Svelte,"Apr 1, 2023"
"
        Feedback-App",,,
,,,
"
        packageurl-python","
          Python implementation of the package url spec. This project is sponsored by NLnet project https://nlnet.nl/project/vulnerabilitydatabase/ , the Google Summer of Code, nexB and other generous sponsors.
        ",Python,"Mar 28, 2023"
"
        packageurl-python",,,
,,,
"
        Hack-It-Out",,,"Mar 19, 2023"
"
        Hack-It-Out",,,
"
        Easy-File-Share",,Python,"Mar 7, 2023"
"
        Easy-File-Share",,,
"
        web-scraper","
          Python Web scraping to scrap all the data from a website.
        ",Python,"Feb 25, 2023"
"
        web-scraper",,,
,,,
"
        Packages-update-checker","
          This repo will have a project that will insure that the packages that are being used in the project are up to date or not, and if new release of a required package is there, it will notify prior br…
        ",,"Jan 24, 2023"
"
        Packages-update-checker",,,
,,,
"
        pip-requirements-parser","
          a mostly correct pip requirements parsing library
        ",Python,"Jan 4, 2023"
"
        pip-requirements-parser",,,
,,,
"
        GIT_workshop_ISTE",,Python,"Dec 30, 2022"
"
        GIT_workshop_ISTE",,,
"
        join.istenith.com","
          Website for joining ISTENITH
        ",HTML,"Dec 11, 2022"
"
        join.istenith.com",,,
,,,
